record_type,timeframe,resolution,suite,symbol,period_from,period_to,n_bars,n_trades,win_rate_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,total_return_pct,cagr_pct,expectancy,profit_factor,entry_date,exit_date,side,entry_price,exit_price,pnl,commission,net_pnl,p_up,p_down,confidence,mcmc_ms
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251114,20251114,SELL,1859.13,1858.3,0.83,0.0,0.83,0.0,0.00036621800720631304,0.9954811299185451,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251114,20251114,SELL,1858.39,1857.91,0.48,0.0,0.48,0.0,0.000630231271189293,0.9966371423783303,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251114,20251114,SELL,1857.99,1857.84,0.15,0.0,0.15,0.0,0.001344954377637331,0.9958254318248972,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251114,20251114,SELL,1857.37,1857.18,0.19,0.0,0.19,0.0,0.0009562835382625148,0.9969291714480986,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251114,20251114,SELL,1857.13,1864.99,-7.86,0.0,-7.86,0.0,0.001369738430699311,0.9955192049834545,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251114,20251114,SELL,1863.56,1871.41,-7.85,0.0,-7.85,0.0,0.0006058007093625395,0.9627774098060908,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251114,20251114,BUY,1871.41,1866.26,-5.15,0.0,-5.15,0.0,0.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251114,20251114,SELL,1870.61,1868.17,2.44,0.0,2.44,0.0,0.0006137310949656943,0.9632296220579332,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251114,20251114,SELL,1868.36,1870.1,-1.74,0.0,-1.74,0.0,0.0007662747373512609,0.9949977316516377,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251114,20251114,SELL,1870.07,1871.54,-1.47,0.0,-1.47,0.0,0.0010075931236115164,0.998331857537119,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251117,20251117,BUY,1878.95,1884.79,5.84,0.0,5.84,0.02985358682621867,0.0,0.8771173989987627,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251117,20251117,SELL,1886.65,1887.13,-0.48,0.0,-0.48,0.0,0.001147179852354149,0.7693035720413073,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251117,20251117,SELL,1886.4,1883.69,2.71,0.0,2.71,0.0,0.00024167332581726672,0.959746126572977,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251117,20251117,SELL,1883.42,1880.51,2.91,0.0,2.91,0.0,0.00034499031928029447,0.9958495959358161,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251117,20251117,SELL,1880.72,1884.8,-4.08,0.0,-4.08,0.0,0.0003868727376490047,0.9974523421092343,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251117,20251117,SELL,1884.7,1887.46,-2.76,0.0,-2.76,0.0,0.0005927821663130392,0.9882181586861051,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251117,20251117,SELL,1887.02,1889.07,-2.05,0.0,-2.05,0.0,0.0008514255912559579,0.9951795345502756,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251117,20251117,SELL,1890.78,1890.78,-0.0,0.0,-0.0,0.0,0.001302185995908139,0.9946400328294821,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251117,20251117,SELL,1890.08,1893.1,-3.02,0.0,-3.02,0.0,0.00039069400161889493,0.9994406188330046,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251117,20251117,BUY,1893.23,1887.71,-5.52,0.0,-5.52,5.305924672253428e-55,0.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251117,20251117,SELL,1890.43,1888.51,1.92,0.0,1.92,0.0,0.0003159185966924487,0.7986940919100228,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251117,20251117,SELL,1888.51,1888.51,-0.0,0.0,-0.0,0.0,0.0007855966029078744,0.9672239511402145,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251118,20251118,BUY,1895.84,1886.63,-9.21,0.0,-9.21,1.0560943396965098e-137,0.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251118,20251118,BUY,1889.17,1881.92,-7.25,0.0,-7.25,0.0,0.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251118,20251118,SELL,1889.71,1898.17,-8.46,0.0,-8.46,0.0,0.0005548818861054972,0.8835955561042743,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251118,20251118,SELL,1898.14,1898.07,0.07,0.0,0.07,0.0,0.00035136312729346477,0.8350135801065437,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251119,20251119,BUY,1896.57,1896.0,-0.57,0.0,-0.57,3.949353779099996e-12,0.0,0.999999999996021,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251119,20251119,SELL,1896.05,1891.6,4.45,0.0,4.45,0.0,0.0010690960613759745,0.9479454871494302,0.0
